subject_code,subject_name,max_marks,credit,practical
SHSB1102,GENERAL, ENGLISH - I,100,3,FALSE
SCOB1101,FINANCIAL ACCOUNTING,100,4,FALSE
SBAB1102,BUSINES ECONOMICS,100,4,FALSE
SBAB1103,PRINCIPLES OF MANAGEMENT,100,4,FALSE
SHSB1201,GENERAL ENGLISH - II,100,3,FALSE
SBAB1201,CORPORATE CORRESPONDENCE,100,4,FALSE
SBAB1202,COMPUTING ESSENTIALS,100,4,FALSE
SBAB1203,ORGANIZATIONAL BEHAVIOUR,100,4,FALSE
SBAB1204,HUMAN RESOURCE MANAGEMENT,100,4,FALSE
SCOB1301,BUSINESS TAXATION,100,4,FALSE
SBAB 1301,BUSINESS REGULATORY FRAMEWORK,100,4,FALSE
SBAB1302,MARKETING REQUISITES,100,4,FALSE
SBAB1303,OFFICE MANAGEMENT,100,4,FALSE
SBAB1304,PRODUCTION MANAGEMENT,100,4,FALSE
SBAB 1401,ENTERPRISE INFORMATION SYSTEM,100,4,FALSE
SBAB1402,E-BUSINESS,100,4,FALSE
SBAB1403,FINANCIAL MANAGEMENT,100,4,FALSE
SBAB1404,BUSINESS STRATEGY,100,4,FALSE
SBAB1405,RESEARCH TOOLS FOR BUSINESS,100,4,FALSE
SCOB1501,MANAGEMENT ACCOUNTING,100,4,FALSE
SBAB150 1,INNOVATION AND ENTREPRNEURSHIP,100,4,FALSE
SBAB1601,BUSINESS RISKS,100,4,FALSE
S28BINT,INTERNSHIP,100,6,TRUE
STAB1101,TAMIL,100,4,FALSE
SFRB1101,FRENCH,100,4,FALSE
SHNB1101,HINDI,100,4,FALSE
SBAB1101,BUSINESS COMMUNICATION,100,4,FALSE
SBAB3001,HUMAN RESOURCE PLANNING,100,4,FALSE
SBAB3002,INDUSTRIAL RELATIONS AND EMPLOYMENT LAWS,100,4,FALSE
SBAB3003,PERFORMANCE AND COMPENSATION MANAGEMENT,100,4,FALSE
SBAB3004,TRAINING AND DEVELOPMENT,100,4,FALSE
SBAB3005,ORGANIZATIONAL CHANGE AND DEVELOPMENT,100,4,FALSE
SBAB3006,HR ANALYTICS,100,4,FALSE
SBAB3007,MARKETING RESEARCH AND CONSUMER BEHAVIOUR,100,4,FALSE
SBAB3008,INTEGRATED MARKETING COMMUNICATION,100,4,FALSE
SBAB3009,BRAND AND RETAIL MANAGEMENT,100,4,FALSE
SBAB3010,SALES AND CHANNEL MANAGEMENT,100,4,FALSE
SBAB3011,DIGITAL MARKETING,100,4,FALSE
SBAB3012,MARKETING ANALYTICS,100,4,FALSE
SCOB3025,MUTUAL FUND,100,4,FALSE
SCOB3026,BUSINESS VALUATION,100,4,FALSE
SCOB3027,BUSINESS ANALYTICS,100,4,FALSE
SCOB3028,FINANCIAL MODELING,100,4,FALSE
SCOB3029,PERSONAL FINANCE,100,4,FALSE
SCOB3030,SECURITY AND PORTFOLIO MANAGEMENT,100,4,FALSE
SHSB1102,GENERAL ENGLISH I,100,3,False
SCOB1101,FINANCIAL ACCOUNTING,100,4,False
SBAB1102,BUSINES ECONOMICS,100,4,False
