"filename", "language", "Dart", "sqlite3-editor-database", "comment", "blank", "total"
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\assets\courses.sqlite", "sqlite3-editor-database", 0, -52, 0, 0, -52
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\add_subjects\add_custom_subject.dart", "Dart", 140, 0, 1, 6, 147
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\add_subjects\add_subjects_page.dart", "Dart", 72, 0, 4, 1, 77
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\add_subjects\bloc\add_page_bloc.dart", "Dart", 0, 0, 1, 1, 2
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\calculate_cgpa\bloc\calculate_cgpa_bloc.dart", "Dart", 30, 0, 10, 3, 43
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\calculate_cgpa\calculate_cgpa_page.dart", "Dart", 43, 0, 4, 0, 47
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\choose_branch\Choose_branch_page.dart", "Dart", -57, 0, 0, -8, -65
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\choose_branch\choose_branch_page.dart", "Dart", 55, 0, 0, 8, 63
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\login\bloc\login_bloc.dart", "Dart", 4, 0, 1, -2, 3
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\login\login_page.dart", "Dart", 2, 0, 8, 1, 11
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\settings\settings_page.dart", "Dart", 42, 0, 0, 5, 47
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\show_cgpa\show_cgpa_page.dart", "Dart", -2, 0, 0, 0, -2
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\main.dart", "Dart", 14, 0, 0, 1, 15
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\models\semSubject.dart", "Dart", -17, 0, 0, -4, -21
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\models\sem_subject.dart", "Dart", 33, 0, 1, 10, 44
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\models\subject.dart", "Dart", 16, 0, 1, 5, 22
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\utilites\commonFuntions.dart", "Dart", 0, 0, 0, -1, -1
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\utilites\secure_storage.dart", "Dart", 38, 0, 10, 5, 53
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\utilites\sqlite_db.dart", "Dart", 7, 0, 6, 1, 14
"Total", "-", 420, -52, 47, 32, 447
