"filename", "language", "YAML", "Java Properties", "Markdown", "Dart", "Gradle", "XML", "Kotlin", "Swift", "sqlite3-editor-database", "C++", "JSON", "comment", "blank", "total"
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 5, 12, 68
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 1, 8
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 6, 1, 35
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\android\app\src\main\kotlin\com\example\sist_cgpa\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 2, 13
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 2, 13
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
